Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,alpha, isTracked
1.118635449,0.3060393,-0.3727276,1.152944,0.002283654,-0.01259304,0.01687009,0.9997758,-0.001710791,-0.000193258,-0.000312782,0.9999984,-0.03412681,-0.005776173,-0.007867711,-0.07865103,1.014789,-0.05605024,0.05579391,-0.3204529,0.367184,0.943718,1
1.188266847,0.3060268,-0.3727205,1.152947,0.002269676,-0.01255944,0.01690934,0.9997756,-0.001636537,-0.000187391,-0.00030962,0.9999985,-0.03290512,-0.01066295,-0.007867711,-0.08110439,1.017438,-0.0619928,0.05027118,-0.3221421,0.3662893,0.9359635,1
1.26173995,0.3060074,-0.3727152,1.152937,0.002291582,-0.01257285,0.01692612,0.9997751,-0.001575532,-0.000188856,-0.000323859,0.9999987,-0.04512206,-0.002111089,-0.004202627,-0.08011795,1.016672,-0.06296238,0.04659991,-0.3210441,0.3644796,0.9231726,1
1.328065652,0.3059984,-0.3727338,1.152941,0.002230072,-0.01254844,0.01685413,0.9997768,-0.001575532,-0.000188856,-0.000323859,0.9999987,-0.04023528,-0.004554478,-0.009089405,-0.08110834,1.015227,-0.06294397,0.05211165,-0.3203076,0.366284,0.9170669,1
1.398615952,0.306,-0.3727309,1.152945,0.002277632,-0.01256951,0.01688889,0.9997758,-0.001516654,-0.000283693,-0.000355521,0.9999987,-0.03290512,-0.002111089,-0.0103111,-0.0739563,1.013617,-0.06314892,0.04941408,-0.3202031,0.361744,0.9184049,1
1.468000751,0.3060067,-0.3727163,1.15293,0.002239139,-0.01254871,0.01688502,0.9997762,-0.001520722,-0.000280869,-0.000345004,0.9999986,-0.03412681,-0.01066295,-0.01641957,-0.07963111,1.013729,-0.06316449,0.0456331,-0.3181439,0.3663002,0.9242544,1
1.538321252,0.3060224,-0.3727087,1.152933,0.00226851,-0.01257869,0.01689982,0.9997755,-0.001520722,-0.000280869,-0.000345004,0.9999986,-0.03168342,0.0003323,-0.0103111,-0.07543085,1.014332,-0.06635779,0.05208968,-0.3222131,0.3681034,0.9270453,1
1.608180251,0.3060344,-0.3727268,1.152949,0.002254044,-0.0125932,0.01691031,0.9997752,-0.001606737,-0.000270022,-0.000348204,0.9999985,-0.0365702,-0.005776173,-0.002980933,-0.08012304,1.012468,-0.0665882,0.05304829,-0.3232056,0.3662824,0.9282184,1
1.678295549,0.3060266,-0.3727278,1.152923,0.002217979,-0.01257969,0.01690413,0.9997756,-0.00168532,-0.000337352,-0.000394897,0.9999983,-0.05489562,0.0003323,-0.01275449,-0.07691401,1.014142,-0.06463836,0.05397951,-0.3213356,0.3653701,0.9311497,1
1.747981745,0.3060254,-0.3727161,1.152939,0.002269188,-0.0126056,0.01690727,0.9997751,-0.001748738,-0.000380488,-0.000452129,0.9999981,-0.04023528,-0.01066295,-0.001759239,-0.07813441,1.023041,-0.05887141,0.04931946,-0.319243,0.3672003,0.9251094,1
1.818978946,0.3060298,-0.3727154,1.152948,0.002267522,-0.01257631,0.01692391,0.9997752,-0.001748738,-0.000380488,-0.000452129,0.9999981,-0.03412681,-0.01188464,-0.006646017,-0.07346115,1.013087,-0.06535193,0.0511942,-0.3183644,0.3653765,0.9082633,1
1.888088349,0.3060297,-0.3727084,1.152901,0.002223892,-0.01258557,0.01689323,0.9997757,-0.001802471,-0.000445514,-0.000494632,0.9999982,-0.02435326,0.0003323,-0.009089405,-0.07913896,1.010977,-0.06705578,0.04564951,-0.3219592,0.3663011,0.9176319,1
1.958139751,0.3060441,-0.3727276,1.152929,0.00226403,-0.01261059,0.01694414,0.9997743,-0.001802471,-0.000445514,-0.000494632,0.9999982,-0.04390037,0.002775689,-0.01397618,-0.07739653,1.017538,-0.0669004,0.04659303,-0.3229506,0.3653895,0.9270578,1
2.028549354,0.3060458,-0.3727162,1.152933,0.002268111,-0.01257658,0.01693004,0.9997751,-0.001795274,-0.000462037,-0.00054471,0.9999979,-0.0365702,-0.003332783,-0.0103111,-0.07567557,1.015317,-0.06612685,0.05117633,-0.3212238,0.3671961,0.920314,1
2.098067555,0.3060289,-0.3727116,1.152928,0.002256823,-0.01256609,0.01690683,0.9997755,-0.001777054,-0.000466514,-0.000588798,0.999998,-0.02924003,-0.003332783,0.001905847,-0.07517742,1.018513,-0.06395985,0.05399049,-0.3203828,0.3644605,0.9168793,1
2.168371353,0.3060234,-0.3727281,1.152948,0.002244229,-0.01260749,0.0169265,0.9997748,-0.001826866,-0.000476975,-0.000615811,0.999998,-0.04023528,-0.000889394,-0.004202627,-0.08060878,1.020663,-0.05786012,0.05028759,-0.3259573,0.3662902,0.9080293,1
2.238415356,0.3060068,-0.3727244,1.152937,0.002267748,-0.01259044,0.016884,0.9997756,-0.001819264,-0.00042363,-0.000598982,0.9999981,-0.02679664,-0.004554478,-0.004202627,-0.07569246,1.010244,-0.06236724,0.04845957,-0.3201644,0.3635652,0.9034144,1
2.308229159,0.3060021,-0.3727285,1.152937,0.002215823,-0.01257059,0.0168894,0.9997759,-0.001819785,-0.00039302,-0.000566424,0.999998,-0.03168342,-0.005776173,-0.01153279,-0.08160964,1.01357,-0.05997213,0.05207869,-0.3231659,0.369013,0.9209075,1
2.37811556,0.3060064,-0.3727244,1.152945,0.002222037,-0.01256307,0.0168945,0.9997759,-0.001833046,-0.000371895,-0.000524521,0.999998,-0.02924003,-0.01066295,-0.006646017,-0.0786334,1.017849,-0.06395876,0.05018343,-0.3192754,0.3708358,0.924885,1
2.448269557,0.3060078,-0.3727301,1.152944,0.002253579,-0.01260866,0.01693278,0.9997747,-0.001870391,-0.000364321,-0.00047468,0.999998,-0.03412681,-0.006997867,0.001905847,-0.07667366,1.01446,-0.05923555,0.05305928,-0.3222529,0.3653727,0.9182599,1
2.518170256,0.3060088,-0.3727255,1.152951,0.002276306,-0.01257622,0.01687094,0.9997761,-0.001939279,-0.000329424,-0.000405691,0.9999979,-0.02924003,-0.01554973,-0.007867711,-0.07594251,1.009534,-0.0611288,0.0530168,-0.3193893,0.3671909,0.9241255,1
2.588089454,0.3060173,-0.3727124,1.152948,0.002271434,-0.01260318,0.01693894,0.9997746,-0.001929382,-0.000325692,-0.000362892,0.999998,-0.04878715,-0.000889394,-0.002980933,-0.08679399,1.011451,-0.06167464,0.04849107,-0.3239807,0.3626567,0.9384288,1
2.658916156,0.3060257,-0.3727069,1.15293,0.002315805,-0.01260089,0.01692795,0.9997747,-0.001929382,-0.000325692,-0.000362892,0.999998,-0.03046173,-0.000889394,-0.005424321,-0.07321079,1.015297,-0.06415439,0.04659171,-0.3191364,0.3644792,0.9405587,1
2.728092659,0.3060437,-0.3727216,1.152934,0.002272998,-0.01254924,0.0168918,0.999776,-0.001879721,-0.000390735,-0.000400196,0.999998,-0.04634375,-0.03143176,0.000684153,-0.08161232,1.009841,-0.06458784,0.0493675,-0.3163857,0.363562,0.936884,1
2.798428561,0.3060465,-0.3727283,1.152924,0.002214338,-0.01259,0.01694161,0.9997748,-0.001821347,-0.000417175,-0.000457251,0.9999981,-0.04512206,-0.003332783,-0.006646017,-0.07444708,1.015852,-0.06121628,0.05400148,-0.3194301,0.3635508,0.9407985,1
2.869534563,0.3060423,-0.3727248,1.152932,0.002260124,-0.01260848,0.01688467,0.9997755,-0.001788153,-0.000383279,-0.000427689,0.9999981,-0.04390037,-0.02043651,-0.009089405,-0.08160269,1.014996,-0.06269608,0.04846367,-0.3211182,0.3635655,0.9336578,1
2.938117262,0.3060239,-0.3727164,1.152923,0.002254335,-0.01259303,0.01689394,0.9997755,-0.001788153,-0.000383279,-0.000427689,0.9999981,-0.01702309,-0.0436487,-0.004202627,-0.07888191,1.018877,-0.06077928,0.05125587,-0.3221828,0.3626491,0.9253564,1
3.009501565,0.3060204,-0.3727246,1.15293,0.002253124,-0.01258236,0.01689792,0.9997755,-0.001758637,-0.000359729,-0.000420688,0.9999982,-0.0353485,-0.02776667,-0.01275449,-0.07544152,1.01721,-0.05312812,0.05490385,-0.3213722,0.3653678,0.9144256,1
3.078368265,0.3060218,-0.3727194,1.152939,0.002244118,-0.01259303,0.01691473,0.9997752,-0.001723001,-0.000313439,-0.000383252,0.9999983,-0.04756545,-0.01432803,-0.002980933,-0.07765705,1.015693,-0.05974729,0.0539987,-0.3222905,0.3644609,0.9124261,1
3.148353066,0.3060338,-0.3727092,1.152944,0.002278839,-0.01258973,0.01687608,0.9997757,-0.001802498,-0.000193365,-0.000336672,0.9999982,-0.03046173,-0.02654498,-0.005424321,-0.07052121,1.008751,-0.05717197,0.05210887,-0.323168,0.3671941,0.9194705,1
3.218092564,0.3060308,-0.3727171,1.15293,0.002255538,-0.01259438,0.01692419,0.999775,-0.00186374,-0.000224732,-0.000352973,0.9999982,-0.03168342,-0.05342225,0.004349235,-0.08209763,1.010009,-0.07048978,0.05034252,-0.3211935,0.3617419,0.9391853,1
3.288408067,0.3060196,-0.3727299,1.152925,0.002247114,-0.012579,0.01691742,0.9997753,-0.001943591,-0.000274898,-0.000389376,0.999998,-0.04267867,-0.04975717,-0.002980933,-0.0781685,1.000866,-0.0725601,0.04846367,-0.3211182,0.3635655,0.950999,1
